filename,area_px
209 - slice00659.tif,203225.88
211 - slice00659.tif,140784.43
212 - slice00659.tif,156458.09
213 - slice00659.tif,123836.01
215 - slice00659.tif,190672.88
216 - slice00659.tif,275207.67
217 - slice00659.tif,156533.43
219 - slice00659.tif,113771.47
220 - slice00659.tif,163547.27
223 - slice00659.tif,141586.07
224 - slice00659.tif,121588.96
225 - slice00659.tif,105364.99
226 - slice00659.tif,177056.18
227 - slice00659.tif,130261.04
228 - slice00659.tif,276358.7
230 - slice00659.tif,114064.05
231 - slice00659.tif,22972.42
232 - slice00659.tif,156734.8
233 - slice00659.tif,167458.93
234 - slice00659.tif,237127.62
